,contrast,energy,homogeneity,correlation,dissimilarity,ASM,Type
1418,0.16378676470588235,0.7672325641685807,0.9702342006632665,0.98117005482826,0.07432598039215686,0.5886458075206952,1
426,0.2579197303921569,0.32081669847006866,0.8939964496828143,0.9756079107662051,0.21962316176470587,0.10292335401723496,0
1932,0.37521446078431375,0.6361488445234373,0.9347161906633146,0.9607303505827051,0.16473651960784313,0.4046853523885045,1
1967,0.21250000000000002,0.6320706112868685,0.9522960721068421,0.9755925788818336,0.11348039215686276,0.3995132576525556,1
781,0.37524509803921574,0.4255331380202238,0.9073851753004002,0.9620532766430872,0.21504289215686273,0.18107845155333882,0
846,0.3003982843137255,0.36833449504674887,0.9022991942817851,0.9719894776153043,0.21268382352941173,0.13567030024134347,0
590,0.24163602941176468,0.612900496149544,0.9398343396380809,0.9715967302080795,0.13943014705882353,0.37564701818035723,0
1180,0.2066482843137255,0.5699175619425858,0.9383761007230946,0.9782148585346507,0.1366421568627451,0.3248060274105812,1
1814,0.22769607843137254,0.667720797788889,0.9469421416359134,0.9747168290456296,0.12435661764705883,0.44585106379983047,1
1830,0.1413296568627451,0.6677740183647513,0.9612993384571022,0.9883442606521916,0.08774509803921568,0.4459221396030072,1
641,0.2606617647058823,0.545542780311253,0.9369590772899595,0.9709952491138168,0.1470588235294118,0.29761692514973204,0
134,0.14736519607843135,0.6007173678217146,0.9501246284712981,0.982229932016469,0.10759803921568628,0.3608613560026492,0
1033,0.47720588235294115,0.655030893728406,0.9341203739506077,0.9592612605851533,0.17901348039215687,0.4290654717386343,1
625,0.37636335784313724,0.42240209373565063,0.8809733870273986,0.9571256038594124,0.2599111519607843,0.17842352879226137,0
1616,0.20949754901960785,0.7718637076434824,0.9741698247355687,0.9836740136293146,0.07273284313725491,0.5957735831771434,1
59,0.23226102941176474,0.4415707224910874,0.9230412812749533,0.979508912970421,0.16651348039215688,0.19498470296130094,0
812,0.2227328431372549,0.5893668905285467,0.946087237007436,0.974399479329724,0.12576593137254902,0.347353331651288,0
1419,0.2431985294117647,0.6682432943358778,0.9572773035379005,0.9674826318109331,0.10762867647058823,0.4465491004248667,1
